0.2 2.13745 0.854982
0.201 2.13959 0.855837
0.202 2.14173 0.856694
0.203 2.14388 0.857551
0.204 2.14602 0.858409
0.205 2.14817 0.859268
0.206 2.15032 0.860127
0.207 2.15247 0.860988
0.208 2.15462 0.861849
0.209 2.15678 0.862711
0.21 2.15894 0.863575
0.211 2.1611 0.864439
0.212 2.16326 0.865304
0.213 2.16542 0.866169
0.214 2.16759 0.867036
0.215 2.16976 0.867903
0.216 2.17193 0.868772
0.217 2.1741 0.869641
0.218 2.17628 0.870511
0.219 2.17845 0.871382
0.22 2.18063 0.872254
0.221 2.18282 0.873126
0.222 2.185 0.874
0.223 2.18719 0.874874
0.224 2.18937 0.87575
0.225 2.19156 0.876626
0.226 2.19376 0.877503
0.227 2.19595 0.878381
0.228 2.19815 0.87926
0.229 2.20035 0.880139
0.23 2.20255 0.88102
0.231 2.20475 0.881901
0.232 2.20696 0.882784
0.233 2.20917 0.883667
0.234 2.21138 0.884551
0.235 2.21359 0.885436
0.236 2.21581 0.886322
0.237 2.21802 0.887209
0.238 2.22024 0.888096
0.239 2.22246 0.888985
0.24 2.22469 0.889874
0.241 2.22691 0.890765
0.242 2.22914 0.891656
0.243 2.23137 0.892548
0.244 2.2336 0.893441
0.245 2.23584 0.894335
0.246 2.23807 0.89523
0.247 2.24031 0.896125
0.248 2.24255 0.897022
0.249 2.2448 0.897919
0.25 2.24704 0.898818
0.251 2.24929 0.899717
0.252 2.25154 0.900617
0.253 2.2538 0.901518
0.254 2.25605 0.90242
0.255 2.25831 0.903323
0.256 2.26057 0.904227
0.257 2.26283 0.905132
0.258 2.26509 0.906037
0.259 2.26736 0.906944
0.26 2.26963 0.907851
0.261 2.2719 0.908759
0.262 2.27417 0.909669
0.263 2.27645 0.910579
0.264 2.27872 0.91149
0.265 2.281 0.912402
0.266 2.28329 0.913315
0.267 2.28557 0.914228
0.268 2.28786 0.915143
0.269 2.29015 0.916059
0.27 2.29244 0.916975
0.271 2.29473 0.917893
0.272 2.29703 0.918811
0.273 2.29933 0.91973
0.274 2.30163 0.92065
0.275 2.30393 0.921571
0.276 2.30623 0.922494
0.277 2.30854 0.923416
0.278 2.31085 0.92434
0.279 2.31316 0.925265
0.28 2.31548 0.926191
0.281 2.31779 0.927118
0.282 2.32011 0.928045
0.283 2.32243 0.928974
0.284 2.32476 0.929903
0.285 2.32708 0.930833
0.286 2.32941 0.931765
0.287 2.33174 0.932697
0.288 2.33408 0.93363
0.289 2.33641 0.934564
0.29 2.33875 0.935499
0.291 2.34109 0.936435
0.292 2.34343 0.937372
0.293 2.34577 0.93831
0.294 2.34812 0.939249
0.295 2.35047 0.940188
0.296 2.35282 0.941129
0.297 2.35518 0.942071
0.298 2.35753 0.943013
0.299 2.35989 0.943957
0.3 2.36225 0.944901
0.301 2.36462 0.945847
0.302 2.36698 0.946793
0.303 2.36935 0.94774
0.304 2.37172 0.948688
0.305 2.37409 0.949638
0.306 2.37647 0.950588
0.307 2.37885 0.951539
0.308 2.38123 0.952491
0.309 2.38361 0.953444
0.31 2.38599 0.954398
0.311 2.38838 0.955352
0.312 2.39077 0.956308
0.313 2.39316 0.957265
0.314 2.39556 0.958223
0.315 2.39795 0.959182
0.316 2.40035 0.960141
0.317 2.40275 0.961102
0.318 2.40516 0.962063
0.319 2.40756 0.963026
0.32 2.40997 0.963989
0.321 2.41238 0.964954
0.322 2.4148 0.965919
0.323 2.41721 0.966886
0.324 2.41963 0.967853
0.325 2.42205 0.968821
0.326 2.42448 0.969791
0.327 2.4269 0.970761
0.328 2.42933 0.971732
0.329 2.43176 0.972704
0.33 2.43419 0.973678
0.331 2.43663 0.974652
0.332 2.43907 0.975627
0.333 2.44151 0.976603
0.334 2.44395 0.97758
0.335 2.4464 0.978558
0.336 2.44884 0.979537
0.337 2.45129 0.980517
0.338 2.45375 0.981498
0.339 2.4562 0.98248
0.34 2.45866 0.983463
0.341 2.46112 0.984447
0.342 2.46358 0.985432
0.343 2.46605 0.986418
0.344 2.46851 0.987405
0.345 2.47098 0.988393
0.346 2.47345 0.989382
0.347 2.47593 0.990372
0.348 2.47841 0.991363
0.349 2.48089 0.992354
0.35 2.48337 0.993347
0.351 2.48585 0.994341
0.352 2.48834 0.995336
0.353 2.49083 0.996332
0.354 2.49332 0.997329
0.355 2.49582 0.998326
0.356 2.49831 0.999325
0.357 2.50081 1.00033
0.358 2.50331 1.00133
0.359 2.50582 1.00233
0.36 2.50833 1.00333
0.361 2.51084 1.00433
0.362 2.51335 1.00534
0.363 2.51586 1.00635
0.364 2.51838 1.00735
0.365 2.5209 1.00836
0.366 2.52342 1.00937
0.367 2.52595 1.01038
0.368 2.52847 1.01139
0.369 2.531 1.0124
0.37 2.53354 1.01341
0.371 2.53607 1.01443
0.372 2.53861 1.01544
0.373 2.54115 1.01646
0.374 2.54369 1.01748
0.375 2.54623 1.01849
0.376 2.54878 1.01951
0.377 2.55133 1.02053
0.378 2.55389 1.02155
0.379 2.55644 1.02258
0.38 2.559 1.0236
0.381 2.56156 1.02462
0.382 2.56412 1.02565
0.383 2.56669 1.02667
0.384 2.56925 1.0277
0.385 2.57183 1.02873
0.386 2.5744 1.02976
0.387 2.57697 1.03079
0.388 2.57955 1.03182
0.389 2.58213 1.03285
0.39 2.58472 1.03389
0.391 2.5873 1.03492
0.392 2.58989 1.03596
0.393 2.59248 1.03699
0.394 2.59508 1.03803
0.395 2.59767 1.03907
0.396 2.60027 1.04011
0.397 2.60287 1.04115
0.398 2.60548 1.04219
0.399 2.60808 1.04323
0.4 2.61069 1.04428
0.401 2.61331 1.04532
0.402 2.61592 1.04637
0.403 2.61854 1.04741
0.404 2.62116 1.04846
0.405 2.62378 1.04951
0.406 2.6264 1.05056
0.407 2.62903 1.05161
0.408 2.63166 1.05267
0.409 2.6343 1.05372
0.41 2.63693 1.05477
0.411 2.63957 1.05583
0.412 2.64221 1.05688
0.413 2.64485 1.05794
0.414 2.6475 1.059
0.415 2.65015 1.06006
0.416 2.6528 1.06112
0.417 2.65545 1.06218
0.418 2.65811 1.06324
0.419 2.66077 1.06431
0.42 2.66343 1.06537
0.421 2.6661 1.06644
0.422 2.66876 1.06751
0.423 2.67144 1.06857
0.424 2.67411 1.06964
0.425 2.67678 1.07071
0.426 2.67946 1.07178
0.427 2.68214 1.07286
0.428 2.68483 1.07393
0.429 2.68751 1.075
0.43 2.6902 1.07608
0.431 2.69289 1.07716
0.432 2.69559 1.07823
0.433 2.69828 1.07931
0.434 2.70098 1.08039
0.435 2.70369 1.08147
0.436 2.70639 1.08256
0.437 2.7091 1.08364
0.438 2.71181 1.08472
0.439 2.71452 1.08581
0.44 2.71724 1.0869
0.441 2.71996 1.08798
0.442 2.72268 1.08907
0.443 2.7254 1.09016
0.444 2.72813 1.09125
0.445 2.73086 1.09234
0.446 2.73359 1.09344
0.447 2.73633 1.09453
0.448 2.73906 1.09563
0.449 2.7418 1.09672
0.45 2.74455 1.09782
0.451 2.74729 1.09892
0.452 2.75004 1.10002
0.453 2.75279 1.10112
0.454 2.75555 1.10222
0.455 2.7583 1.10332
0.456 2.76106 1.10443
